Row Labels,new_probable_cases,new_confirmed_cases,total_deaths,new_deaths,total_probable_cases,total_confirmed_cases
Andorra,0,2,0,0,0,4
Argentina,0,93,2,1,0,1181
Aruba,0,1,0,0,0,3
Australia,0,101,0,0,0,624
Austria,0,25,1,1,0,350
Bahamas,0,2,0,0,0,4
Bahrain,0,1,0,0,0,2
Barbados,0,1,0,0,0,1
Belgium,1,89,2,1,1,814
Benin,0,3,0,0,0,3
Bermuda,0,1,0,0,0,1
Bolivia (Plurinational State of),0,29,0,0,0,266
Bosnia and Herzegovina,0,3,0,0,0,9
Brazil,0,951,16,4,0,12206
Bulgaria,0,2,0,0,0,7
Burundi,0,78,0,0,0,231
C?¥te d‚ÄôIvoire,0,12,1,1,0,41
Cambodia,0,9,0,0,0,13
Cameroon,0,12,5,2,0,50
Canada,0,139,0,0,0,1649
Central African Republic,0,10,2,1,0,94
Chile,0,143,3,1,0,1461
China,0,522,1,1,0,2582
Colombia,0,459,0,0,0,4262
Congo,0,8,2,1,0,47
Costa Rica,0,23,1,1,0,225
Croatia,0,5,0,0,0,34
Cuba,0,4,1,1,0,8
Cura?ßao,0,2,0,0,0,3
Cyprus,0,2,0,0,0,5
Czechia,0,6,1,1,0,85
Democratic Republic of the Congo,0,275,27,4,0,6092
Denmark,0,18,0,0,0,204
Dominican Republic,0,18,1,1,0,110
Ecuador,0,38,3,1,0,605
Egypt,0,1,0,0,0,3
El Salvador,0,19,0,0,0,104
Estonia,0,2,0,0,0,11
Finland,0,7,0,0,0,43
France,0,541,0,0,0,4307
Gabon,0,1,0,0,0,1
Georgia,0,1,0,0,0,2
Germany,0,174,0,0,0,3909
Ghana,0,14,4,3,0,127
Gibraltar,0,3,0,0,0,6
Greece,0,8,0,0,0,99
Greenland,0,2,0,0,0,2
Guadeloupe,0,1,0,0,0,1
Guam,0,1,0,0,0,1
Guatemala,0,26,1,1,0,406
Guinea,0,0,0,0,0,0
Guyana,0,1,0,0,0,2
Honduras,0,4,0,0,0,44
Hungary,0,7,0,0,0,85
Iceland,0,3,0,0,0,17
India,0,5,1,1,0,30
Indonesia,0,30,0,0,0,88
Iran (Islamic Republic of),0,1,0,0,0,1
Ireland,0,16,0,0,0,250
Israel,0,25,0,0,0,321
Italy,0,54,0,0,0,1057
Jamaica,0,5,0,0,0,21
Japan,0,17,1,1,0,248
Jordan,0,1,0,0,0,1
Kenya,0,1,0,0,0,2
Lao People's Democratic Republic,0,1,0,0,0,1
Latvia,0,1,0,0,0,6
Lebanon,0,6,0,0,0,27
Liberia,0,2,0,0,0,23
Lithuania,0,2,0,0,0,5
Luxembourg,0,5,0,0,0,61
Malaysia,0,5,0,0,0,9
Malta,0,8,0,0,0,37
Martinique,0,6,0,0,0,7
Mexico,0,310,35,4,0,4155
Monaco,0,3,0,0,0,3
Montenegro,0,1,0,0,0,2
Morocco,0,2,0,0,0,5
Mozambique,0,1,1,1,0,1
Nepal,0,1,0,0,0,1
Netherlands,0,107,0,0,0,1327
New Caledonia,0,1,0,0,0,1
New Zealand,1,23,0,0,1,53
Nigeria,0,56,9,2,0,911
Norway,0,11,0,0,0,109
Oman,0,2,0,0,0,3
Pakistan,0,1,1,1,0,11
Panama,0,16,1,1,0,241
Paraguay,0,11,0,0,0,126
Peru,0,313,23,5,0,3939
Philippines,0,4,0,0,0,14
Poland,0,13,0,0,0,225
Portugal,0,77,2,1,0,1206
Qatar,0,1,0,0,0,5
Republic of Korea,0,13,0,0,0,166
Republic of Moldova,0,1,0,0,0,2
Romania,0,3,0,0,0,48
Russian Federation,0,2,0,0,0,4
Rwanda,0,2,0,0,0,4
Saint Martin,0,1,0,0,0,1
San Marino,0,1,0,0,0,1
Saudi Arabia,0,206,0,0,0,764
Serbia,0,13,0,0,0,40
Singapore,0,4,0,0,0,64
Slovakia,0,3,0,0,0,16
Slovenia,0,5,0,0,0,47
South Africa,0,7,3,1,0,29
Spain,0,560,3,2,0,8240
Sri Lanka,0,2,0,0,0,4
Sudan,0,10,1,1,0,19
Sweden,0,15,0,0,0,302
Switzerland,0,26,0,0,0,588
T?ºrkiye,0,11,0,0,0,12
Thailand,0,117,10,9,0,833
The United Kingdom,0,259,0,0,0,4058
Trinidad and Tobago,0,3,0,0,0,4
Uganda,0,2,0,0,0,6
Ukraine,0,1,0,0,0,5
United Arab Emirates,0,5,0,0,0,28
United States of America,0,3270,61,6,0,33812
Uruguay,0,3,0,0,0,19
Venezuela (Bolivarian Republic of),0,3,0,0,0,12
Viet Nam,0,24,8,4,0,203
,,,,,,
