country,iso3,who_region,date,total_confirmed_cases,total_probable_cases,new_confirmed_cases,new_probable_cases,total_deaths,new_deaths
Benin,BEN,African Region,2022-01-09,0,0,0,0,0,0
Benin,BEN,African Region,2022-01-16,0,0,0,0,0,0
Benin,BEN,African Region,2022-01-23,0,0,0,0,0,0
Benin,BEN,African Region,2022-01-30,0,0,0,0,0,0
Benin,BEN,African Region,2022-02-06,0,0,0,0,0,0
Benin,BEN,African Region,2022-02-13,0,0,0,0,0,0
Benin,BEN,African Region,2022-02-20,0,0,0,0,0,0
Benin,BEN,African Region,2022-02-27,0,0,0,0,0,0
Benin,BEN,African Region,2022-03-06,0,0,0,0,0,0
Benin,BEN,African Region,2022-03-13,0,0,0,0,0,0
Benin,BEN,African Region,2022-03-20,0,0,0,0,0,0
Benin,BEN,African Region,2022-03-27,0,0,0,0,0,0
Benin,BEN,African Region,2022-04-03,0,0,0,0,0,0
Benin,BEN,African Region,2022-04-10,0,0,0,0,0,0
Benin,BEN,African Region,2022-04-17,0,0,0,0,0,0
Benin,BEN,African Region,2022-04-24,0,0,0,0,0,0
Benin,BEN,African Region,2022-05-01,0,0,0,0,0,0
Benin,BEN,African Region,2022-05-08,0,0,0,0,0,0
Benin,BEN,African Region,2022-05-15,0,0,0,0,0,0
Benin,BEN,African Region,2022-05-22,0,0,0,0,0,0
Benin,BEN,African Region,2022-05-29,0,0,0,0,0,0
Benin,BEN,African Region,2022-06-05,0,0,0,0,0,0
Benin,BEN,African Region,2022-06-12,0,0,0,0,0,0
Benin,BEN,African Region,2022-06-19,0,0,0,0,0,0
Benin,BEN,African Region,2022-06-26,3,0,3,0,0,0
Benin,BEN,African Region,2022-07-03,3,0,0,0,0,0
Benin,BEN,African Region,2022-07-10,3,0,0,0,0,0
Benin,BEN,African Region,2022-07-17,3,0,0,0,0,0
Benin,BEN,African Region,2022-07-24,3,0,0,0,0,0
Benin,BEN,African Region,2022-07-31,3,0,0,0,0,0
Benin,BEN,African Region,2022-08-07,3,0,0,0,0,0
Benin,BEN,African Region,2022-08-14,3,0,0,0,0,0
Benin,BEN,African Region,2022-08-21,3,0,0,0,0,0
Benin,BEN,African Region,2022-08-28,3,0,0,0,0,0
Benin,BEN,African Region,2022-09-04,3,0,0,0,0,0
Benin,BEN,African Region,2022-09-11,3,0,0,0,0,0
Benin,BEN,African Region,2022-09-18,3,0,0,0,0,0
Benin,BEN,African Region,2022-09-25,3,0,0,0,0,0
Benin,BEN,African Region,2022-10-02,3,0,0,0,0,0
Benin,BEN,African Region,2022-10-09,3,0,0,0,0,0
Benin,BEN,African Region,2022-10-16,3,0,0,0,0,0
Benin,BEN,African Region,2022-10-23,3,0,0,0,0,0
Benin,BEN,African Region,2022-10-30,3,0,0,0,0,0
Benin,BEN,African Region,2022-11-06,3,0,0,0,0,0
Benin,BEN,African Region,2022-11-13,3,0,0,0,0,0
Benin,BEN,African Region,2022-11-20,3,0,0,0,0,0
Benin,BEN,African Region,2022-11-27,3,0,0,0,0,0
Benin,BEN,African Region,2022-12-04,3,0,0,0,0,0
Benin,BEN,African Region,2022-12-11,3,0,0,0,0,0
Benin,BEN,African Region,2022-12-18,3,0,0,0,0,0
Benin,BEN,African Region,2022-12-25,3,0,0,0,0,0
Benin,BEN,African Region,2023-01-01,3,0,0,0,0,0
Benin,BEN,African Region,2023-01-08,3,0,0,0,0,0
Benin,BEN,African Region,2023-01-15,3,0,0,0,0,0
Benin,BEN,African Region,2023-01-22,3,0,0,0,0,0
Benin,BEN,African Region,2023-01-29,3,0,0,0,0,0
Benin,BEN,African Region,2023-02-05,3,0,0,0,0,0
Benin,BEN,African Region,2023-02-12,3,0,0,0,0,0
Benin,BEN,African Region,2023-02-19,3,0,0,0,0,0
Benin,BEN,African Region,2023-02-26,3,0,0,0,0,0
Benin,BEN,African Region,2023-03-05,3,0,0,0,0,0
Benin,BEN,African Region,2023-03-12,3,0,0,0,0,0
Benin,BEN,African Region,2023-03-19,3,0,0,0,0,0
Benin,BEN,African Region,2023-03-26,3,0,0,0,0,0
Benin,BEN,African Region,2023-04-02,3,0,0,0,0,0
Benin,BEN,African Region,2023-04-09,3,0,0,0,0,0
Benin,BEN,African Region,2023-04-16,3,0,0,0,0,0
Benin,BEN,African Region,2023-04-23,3,0,0,0,0,0
Benin,BEN,African Region,2023-04-30,3,0,0,0,0,0
Benin,BEN,African Region,2023-05-07,3,0,0,0,0,0
Benin,BEN,African Region,2023-05-14,3,0,0,0,0,0
Benin,BEN,African Region,2023-05-21,3,0,0,0,0,0
Benin,BEN,African Region,2023-05-28,3,0,0,0,0,0
Benin,BEN,African Region,2023-06-04,3,0,0,0,0,0
Benin,BEN,African Region,2023-06-11,3,0,0,0,0,0
Benin,BEN,African Region,2023-06-18,3,0,0,0,0,0
Benin,BEN,African Region,2023-06-25,3,0,0,0,0,0
Benin,BEN,African Region,2023-07-02,3,0,0,0,0,0
Benin,BEN,African Region,2023-07-09,3,0,0,0,0,0
Benin,BEN,African Region,2023-07-16,3,0,0,0,0,0
Benin,BEN,African Region,2023-07-23,3,0,0,0,0,0
Benin,BEN,African Region,2023-07-30,3,0,0,0,0,0
Benin,BEN,African Region,2023-08-06,3,0,0,0,0,0
Benin,BEN,African Region,2023-08-13,3,0,0,0,0,0
Benin,BEN,African Region,2023-08-20,3,0,0,0,0,0
Benin,BEN,African Region,2023-08-27,3,0,0,0,0,0
Benin,BEN,African Region,2023-09-03,3,0,0,0,0,0
Benin,BEN,African Region,2023-09-10,3,0,0,0,0,0
Benin,BEN,African Region,2023-09-17,3,0,0,0,0,0
Benin,BEN,African Region,2023-09-24,3,0,0,0,0,0
Benin,BEN,African Region,2023-10-01,3,0,0,0,0,0
Benin,BEN,African Region,2023-10-08,3,0,0,0,0,0
Benin,BEN,African Region,2023-10-15,3,0,0,0,0,0
Benin,BEN,African Region,2023-10-22,3,0,0,0,0,0
Benin,BEN,African Region,2023-10-29,3,0,0,0,0,0
Benin,BEN,African Region,2023-11-05,3,0,0,0,0,0
Benin,BEN,African Region,2023-11-12,3,0,0,0,0,0
Benin,BEN,African Region,2023-11-19,3,0,0,0,0,0
Benin,BEN,African Region,2023-11-26,3,0,0,0,0,0
Benin,BEN,African Region,2023-12-03,3,0,0,0,0,0
Benin,BEN,African Region,2023-12-10,3,0,0,0,0,0
Benin,BEN,African Region,2023-12-17,3,0,0,0,0,0
Benin,BEN,African Region,2023-12-24,3,0,0,0,0,0
Benin,BEN,African Region,2023-12-31,3,0,0,0,0,0
Benin,BEN,African Region,2024-01-07,3,0,0,0,0,0
Benin,BEN,African Region,2024-01-14,3,0,0,0,0,0
Benin,BEN,African Region,2024-01-21,3,0,0,0,0,0
Benin,BEN,African Region,2024-01-28,3,0,0,0,0,0
Benin,BEN,African Region,2024-02-04,3,0,0,0,0,0
Benin,BEN,African Region,2024-02-11,3,0,0,0,0,0
Benin,BEN,African Region,2024-02-18,3,0,0,0,0,0
Benin,BEN,African Region,2024-02-25,3,0,0,0,0,0
Benin,BEN,African Region,2024-03-03,3,0,0,0,0,0
Benin,BEN,African Region,2024-03-10,3,0,0,0,0,0
Benin,BEN,African Region,2024-03-17,3,0,0,0,0,0
Benin,BEN,African Region,2024-03-24,3,0,0,0,0,0
Benin,BEN,African Region,2024-03-31,3,0,0,0,0,0
Benin,BEN,African Region,2024-04-07,3,0,0,0,0,0
Benin,BEN,African Region,2024-04-14,3,0,0,0,0,0
Benin,BEN,African Region,2024-04-21,3,0,0,0,0,0
Benin,BEN,African Region,2024-04-28,3,0,0,0,0,0
Benin,BEN,African Region,2024-05-05,3,0,0,0,0,0
Benin,BEN,African Region,2024-05-12,3,0,0,0,0,0
Benin,BEN,African Region,2024-05-19,3,0,0,0,0,0
Benin,BEN,African Region,2024-05-26,3,0,0,0,0,0
Benin,BEN,African Region,2024-06-02,3,0,0,0,0,0
Benin,BEN,African Region,2024-06-09,3,0,0,0,0,0
Benin,BEN,African Region,2024-06-16,3,0,0,0,0,0
Benin,BEN,African Region,2024-06-23,3,0,0,0,0,0
Benin,BEN,African Region,2024-06-30,3,0,0,0,0,0
Benin,BEN,African Region,2024-07-07,3,0,0,0,0,0
Benin,BEN,African Region,2024-07-14,3,0,0,0,0,0
Benin,BEN,African Region,2024-07-21,3,0,0,0,0,0
Benin,BEN,African Region,2024-07-28,3,0,0,0,0,0
Benin,BEN,African Region,2024-08-04,3,0,0,0,0,0
Benin,BEN,African Region,2024-08-11,3,0,0,0,0,0
Benin,BEN,African Region,2024-08-18,3,0,0,0,0,0
Benin,BEN,African Region,2024-08-25,3,0,0,0,0,0
Burundi,BDI,African Region,2024-07-21,0,0,0,0,0,0
Burundi,BDI,African Region,2024-07-28,9,0,9,0,0,0
Burundi,BDI,African Region,2024-08-04,40,0,31,0,0,0
